Rk,Player,Season,Age,Tm,Lg,WS,VORP,BPM,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,Michael Jordan\jordami01,1987-88,24,CHI,NBA,21.2,11.8,12.2,82,82,40.4,13.0,24.4,13.0,23.7,0.1,0.6,8.8,10.5,1.7,3.8,5.5,5.9,3.2,1.6,3.1,3.3,35.0,.535,.546,.132,.537,.841,.603
2,Michael Jordan\jordami01,1995-96,32,CHI,NBA,20.4,8.3,8.6,82,82,37.7,11.2,22.6,9.8,19.4,1.4,3.2,6.7,8.0,1.8,4.8,6.6,4.3,2.2,0.5,2.4,2.4,30.4,.495,.506,.427,.525,.834,.582
3,LeBron James\jamesle01,2008-09,24,CLE,NBA,20.3,11.6,13.0,81,81,37.7,9.7,19.9,8.1,15.2,1.6,4.7,7.3,9.4,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7,28.4,.489,.535,.344,.530,.780,.591
4,Michael Jordan\jordami01,1990-91,27,CHI,NBA,20.3,9.8,10.8,82,82,37.0,12.1,22.4,11.7,21.3,0.4,1.1,7.0,8.2,1.4,4.6,6.0,5.5,2.7,1.0,2.5,2.8,31.5,.539,.551,.312,.547,.851,.605
5,David Robinson\robinda01,1993-94,28,SAS,NBA,20.0,10.6,10.9,80,80,40.5,10.5,20.7,10.4,20.4,0.1,0.4,8.7,11.6,3.0,7.7,10.7,4.8,1.7,3.3,3.2,2.9,29.8,.507,.510,.345,.510,.749,.577
6,Michael Jordan\jordami01,1988-89,25,CHI,NBA,19.8,12.0,12.6,81,81,40.2,11.9,22.2,11.6,21.0,0.3,1.2,8.3,9.8,1.8,6.2,8.0,8.0,2.9,0.8,3.6,3.0,32.5,.538,.553,.276,.546,.850,.614
7,LeBron James\jamesle01,2012-13,28,MIA,NBA,19.3,9.8,11.6,76,76,37.9,10.1,17.8,8.7,14.5,1.4,3.3,5.3,7.0,1.3,6.8,8.0,7.3,1.7,0.9,3.0,1.4,26.8,.565,.602,.406,.603,.753,.640
8,Kevin Durant\duranke01,2013-14,25,OKC,NBA,19.2,8.5,8.8,81,81,38.5,10.5,20.8,8.1,14.8,2.4,6.1,8.7,9.9,0.7,6.7,7.4,5.5,1.3,0.7,3.5,2.1,32.0,.503,.549,.391,.560,.873,.635
9,Michael Jordan\jordami01,1989-90,26,CHI,NBA,19.0,10.1,10.6,82,82,39.0,12.6,24.0,11.5,21.0,1.1,3.0,7.2,8.5,1.7,5.1,6.9,6.3,2.8,0.7,3.0,2.9,33.6,.526,.548,.376,.550,.848,.606
10,Kevin Durant\duranke01,2012-13,24,OKC,NBA,18.9,7.6,7.7,81,81,38.5,9.0,17.7,7.3,13.6,1.7,4.1,8.4,9.3,0.6,7.3,7.9,4.6,1.4,1.3,3.5,1.8,28.1,.510,.539,.416,.559,.905,.647
11,Shaquille O'Neal\onealsh01,1999-00,27,LAL,NBA,18.6,9.3,9.7,79,79,40.0,12.1,21.1,12.1,21.1,0.0,0.0,5.5,10.4,4.3,9.4,13.6,3.8,0.5,3.0,2.8,3.2,29.7,.574,.575,.000,.574,.524,.578
12,LeBron James\jamesle01,2009-10,25,CLE,NBA,18.5,10.9,12.5,76,76,39.0,10.1,20.1,8.4,15.0,1.7,5.1,7.8,10.2,0.9,6.4,7.3,8.6,1.6,1.0,3.4,1.6,29.7,.503,.560,.333,.545,.767,.604
13,Kevin Garnett\garneke01,2003-04,27,MIN,NBA,18.3,9.8,9.9,82,82,39.4,9.8,19.6,9.7,19.1,0.1,0.5,4.5,5.7,3.0,10.9,13.9,5.0,1.5,2.2,2.6,2.5,24.2,.499,.506,.256,.502,.791,.547
14,Michael Jordan\jordami01,1996-97,33,CHI,NBA,18.3,6.8,6.7,82,82,37.9,11.2,23.1,9.9,19.5,1.4,3.6,5.9,7.0,1.4,4.5,5.9,4.3,1.7,0.5,2.0,1.9,29.6,.486,.507,.374,.516,.833,.567
15,Chris Paul\paulch01,2008-09,23,NOH,NBA,18.3,10.0,11.2,78,78,38.5,8.1,16.1,7.3,13.8,0.8,2.3,5.8,6.7,0.9,4.7,5.5,11.0,2.8,0.1,3.0,2.7,22.8,.503,.525,.364,.528,.868,.599
16,David Robinson\robinda01,1995-96,30,SAS,NBA,18.3,8.5,9.2,82,82,36.8,8.7,16.8,8.6,16.7,0.0,0.1,7.6,10.0,3.9,8.3,12.2,3.0,1.4,3.3,2.3,3.2,25.0,.516,.517,.333,.517,.761,.589
17,Stephen Curry\curryst01,2015-16,27,GSW,NBA,17.9,9.8,12.5,79,79,34.2,10.2,20.2,5.1,9.0,5.1,11.2,4.6,5.1,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2.0,30.1,.504,.566,.454,.630,.908,.669
18,Tim Duncan\duncati01,2001-02,25,SAS,NBA,17.8,8.1,7.6,82,82,40.6,9.3,18.3,9.3,18.2,0.0,0.1,6.8,8.5,3.3,9.4,12.7,3.7,0.7,2.5,3.2,2.6,25.5,.508,.511,.100,.508,.799,.576
19,Chris Paul\paulch01,2007-08,22,NOH,NBA,17.8,8.5,9.2,80,80,37.6,7.9,16.1,6.7,13.0,1.2,3.1,4.2,4.9,0.8,3.2,4.0,11.6,2.7,0.1,2.5,2.3,21.1,.488,.516,.369,.524,.851,.576
20,Michael Jordan\jordami01,1991-92,28,CHI,NBA,17.7,8.3,8.6,80,80,38.8,11.8,22.7,11.5,21.5,0.3,1.3,6.1,7.4,1.1,5.3,6.4,6.1,2.3,0.9,2.5,2.5,30.1,.519,.533,.270,.526,.832,.579
21,Dirk Nowitzki\nowitdi01,2005-06,27,DAL,NBA,17.7,6.0,5.7,81,81,38.1,9.3,19.3,7.9,16.0,1.4,3.3,6.7,7.4,1.4,7.6,9.0,2.8,0.7,1.0,1.9,2.0,26.6,.480,.496,.406,.515,.901,.589
22,David Robinson\robinda01,1994-95,29,SAS,NBA,17.5,8.1,8.4,81,81,38.0,9.7,18.4,9.7,18.1,0.1,0.2,8.1,10.5,2.9,7.9,10.8,2.9,1.7,3.2,2.9,2.8,27.6,.530,.533,.300,.532,.774,.602
23,Charles Barkley\barklch01,1989-90,26,PHI,NBA,17.3,9.2,9.8,79,79,39.1,8.9,14.9,8.7,13.7,0.3,1.2,7.1,9.4,4.6,6.9,11.5,3.9,1.9,0.6,3.1,3.2,25.2,.600,.632,.217,.608,.749,.661
24,Michael Jordan\jordami01,1992-93,29,CHI,NBA,17.2,8.9,9.5,78,78,39.3,12.7,25.7,11.7,22.7,1.0,2.9,6.1,7.3,1.7,5.0,6.7,5.5,2.8,0.8,2.7,2.4,32.6,.495,.514,.352,.515,.837,.564
25,David Robinson\robinda01,1990-91,25,SAS,NBA,17.0,8.1,8.4,82,81,37.7,9.2,16.7,9.2,16.6,0.0,0.1,7.2,9.5,4.1,8.9,13.0,2.5,1.5,3.9,3.3,3.2,25.6,.552,.554,.143,.552,.762,.615
26,Michael Jordan\jordami01,1986-87,23,CHI,NBA,16.9,8.8,8.6,82,82,40.0,13.4,27.8,13.2,27.0,0.1,0.8,10.2,11.9,2.0,3.2,5.2,4.6,2.9,1.5,3.3,2.9,37.1,.482,.491,.182,.484,.857,.562
27,Shaquille O'Neal\onealsh01,1993-94,21,ORL,NBA,16.9,7.1,6.6,81,81,39.8,11.8,19.6,11.8,19.6,0.0,0.0,5.8,10.5,4.7,8.5,13.2,2.4,0.9,2.9,2.7,3.5,29.3,.599,.600,.000,.599,.554,.605
28,Charles Barkley\barklch01,1987-88,24,PHI,NBA,16.7,8.7,9.0,80,80,39.6,9.4,16.0,8.9,14.1,0.6,2.0,8.9,11.9,4.8,7.1,11.9,3.2,1.3,1.3,3.8,3.5,28.3,.587,.630,.280,.604,.751,.665
29,Karl Malone\malonka01,1996-97,33,UTA,NBA,16.7,7.9,8.5,82,82,36.6,10.5,19.2,10.5,19.0,0.0,0.2,6.4,8.4,2.4,7.5,9.9,4.5,1.4,0.6,2.8,2.6,27.4,.550,.555,.000,.550,.755,.600
30,Tim Duncan\duncati01,2002-03,26,SAS,NBA,16.5,7.6,7.4,81,81,39.3,8.8,17.2,8.7,16.9,0.1,0.3,5.6,7.8,3.2,9.7,12.9,3.9,0.7,2.9,3.1,2.9,23.3,.513,.517,.273,.515,.710,.564
31,Magic Johnson\johnsma02,1989-90,30,LAL,NBA,16.5,8.5,9.5,79,79,37.2,6.9,14.4,5.6,10.9,1.3,3.5,7.2,8.1,1.6,5.0,6.6,11.5,1.7,0.4,3.7,2.1,22.3,.480,.510,.384,.526,.890,.622
32,James Harden\hardeja01,2014-15,25,HOU,NBA,16.4,7.8,8.4,81,81,36.8,8.0,18.1,5.4,11.3,2.6,6.9,8.8,10.2,0.9,4.7,5.7,7.0,1.9,0.7,4.0,2.6,27.4,.440,.480,.375,.511,.868,.605
33,Karl Malone\malonka01,1997-98,34,UTA,NBA,16.4,6.9,7.0,81,81,37.4,9.6,18.2,9.6,18.1,0.0,0.1,7.8,10.2,2.3,8.0,10.3,3.9,1.2,0.9,3.0,2.9,27.0,.530,.531,.333,.531,.761,.597
34,LeBron James\jamesle01,2005-06,21,CLE,NBA,16.3,9.5,9.3,79,79,42.5,11.1,23.1,9.5,18.3,1.6,4.8,7.6,10.3,0.9,6.1,7.0,6.6,1.6,0.8,3.3,2.3,31.4,.480,.518,.335,.515,.738,.568
35,Dirk Nowitzki\nowitdi01,2006-07,28,DAL,NBA,16.3,6.2,6.7,78,78,36.2,8.6,17.2,7.7,15.0,0.9,2.2,6.4,7.1,1.6,7.3,8.9,3.4,0.7,0.8,2.1,2.2,24.6,.502,.515,.416,.529,.904,.605
36,Charles Barkley\barklch01,1988-89,25,PHI,NBA,16.1,9.2,9.8,79,79,39.1,8.9,15.3,8.4,13.2,0.4,2.1,7.6,10.1,5.1,7.4,12.5,4.1,1.6,0.8,3.2,3.3,25.8,.579,.636,.216,.594,.753,.653
37,Kevin Durant\duranke01,2009-10,21,OKC,NBA,16.1,5.8,5.1,82,82,39.5,9.7,20.3,8.1,16.1,1.6,4.3,9.2,10.2,1.3,6.3,7.6,2.8,1.4,1.0,3.3,2.1,30.1,.476,.506,.365,.514,.900,.607
38,Kevin Garnett\garneke01,2004-05,28,MIN,NBA,16.1,9.3,9.7,82,82,38.1,8.3,16.6,8.3,16.3,0.1,0.3,5.4,6.7,3.0,10.5,13.5,5.7,1.5,1.4,2.7,2.5,22.2,.502,.507,.240,.504,.811,.567
39,Magic Johnson\johnsma02,1988-89,29,LAL,NBA,16.1,8.2,9.3,77,77,37.5,7.5,14.8,6.8,12.3,0.8,2.4,6.7,7.3,1.4,6.4,7.9,12.8,1.8,0.3,4.1,2.2,22.5,.509,.548,.314,.535,.911,.625
40,Tracy McGrady\mcgratr01,2002-03,23,ORL,NBA,16.1,8.7,9.7,75,74,39.4,11.1,24.2,8.7,18.2,2.3,6.0,7.7,9.7,1.6,4.9,6.5,5.5,1.7,0.8,2.6,2.1,32.1,.457,.481,.386,.505,.793,.564
41,Dirk Nowitzki\nowitdi01,2002-03,24,DAL,NBA,16.1,6.1,5.7,80,80,39.0,8.6,18.6,6.8,13.7,1.9,4.9,6.0,6.9,1.0,8.9,9.9,3.0,1.4,1.0,1.9,2.6,25.1,.463,.493,.379,.513,.881,.581
42,Chris Paul\paulch01,2014-15,29,LAC,NBA,16.1,6.9,7.5,82,82,34.8,6.9,14.3,5.2,10.0,1.7,4.3,3.5,3.9,0.6,4.0,4.6,10.2,1.9,0.2,2.3,2.5,19.1,.485,.523,.398,.545,.900,.596
43,LeBron James\jamesle01,2013-14,29,MIA,NBA,15.9,8.0,8.9,77,77,37.7,10.0,17.6,8.5,13.6,1.5,4.0,5.7,7.6,1.1,5.9,6.9,6.3,1.6,0.3,3.5,1.6,27.1,.567,.622,.379,.610,.750,.649
