Rk,Player,Season,Age,Tm,Lg,WS,VORP,BPM,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,LeBron James\jamesle01,2010-11,26,MIA,NBA,15.6,8.2,8.6,79,79,38.8,9.6,18.8,8.4,15.3,1.2,3.5,6.4,8.4,1.0,6.5,7.5,7.0,1.6,0.6,3.6,2.1,26.7,.510,.552,.330,.541,.759,.594
2,Pau Gasol\gasolpa01,2010-11,30,LAL,NBA,14.7,5.6,5.3,82,82,37.0,7.2,13.7,7.2,13.6,0.0,0.0,4.3,5.2,3.3,6.9,10.2,3.3,0.6,1.6,1.7,2.5,18.8,.529,.530,.333,.530,.823,.589
3,Dwight Howard\howardw01,2010-11,25,ORL,NBA,14.4,5.0,4.8,78,78,37.6,7.9,13.4,7.9,13.3,0.0,0.1,7.0,11.7,4.0,10.1,14.1,1.4,1.4,2.4,3.6,3.3,22.9,.593,.597,.000,.593,.596,.616
4,Chris Paul\paulch01,2010-11,25,NOH,NBA,13.9,6.1,6.4,80,80,36.0,5.4,11.6,4.5,9.3,0.9,2.3,4.2,4.8,0.5,3.6,4.1,9.8,2.4,0.1,2.2,2.5,15.9,.463,.482,.388,.502,.878,.578
5,Derrick Rose\rosede01,2010-11,22,CHI,NBA,13.1,6.0,5.9,81,81,37.4,8.8,19.7,7.2,15.0,1.6,4.8,5.9,6.9,1.0,3.1,4.1,7.7,1.0,0.6,3.4,1.7,25.0,.445,.481,.332,.485,.858,.550
6,Dwyane Wade\wadedw01,2010-11,29,MIA,NBA,12.8,5.7,5.9,76,76,37.1,9.1,18.2,8.3,15.5,0.8,2.7,6.5,8.6,1.6,4.8,6.4,4.6,1.5,1.1,3.1,2.6,25.5,.500,.534,.306,.523,.758,.581
7,Kevin Durant\duranke01,2010-11,22,OKC,NBA,12.0,3.7,2.9,78,78,38.9,9.1,19.7,7.3,14.4,1.9,5.3,7.6,8.7,0.7,6.1,6.8,2.7,1.1,1.0,2.8,2.0,27.7,.462,.504,.350,.509,.880,.589
8,Paul Pierce\piercpa01,2010-11,33,BOS,NBA,11.6,4.7,4.7,80,80,34.7,6.3,12.8,5.0,9.1,1.4,3.7,4.8,5.6,0.4,5.0,5.4,3.3,1.0,0.6,2.1,2.9,18.9,.497,.547,.374,.551,.860,.620
9,Kevin Love\loveke01,2010-11,22,MIN,NBA,11.4,3.8,3.7,73,73,35.8,6.6,14.1,5.4,11.2,1.2,2.9,5.8,6.8,4.5,10.7,15.2,2.5,0.6,0.4,2.1,2.0,20.2,.470,.483,.417,.513,.850,.593
10,LaMarcus Aldridge\aldrila01,2010-11,25,POR,NBA,11.1,3.5,2.4,81,81,39.6,8.7,17.5,8.7,17.2,0.0,0.3,4.3,5.5,3.4,5.3,8.8,2.1,1.0,1.2,1.9,2.7,21.8,.500,.505,.174,.501,.791,.549
11,Dirk Nowitzki\nowitdi01,2010-11,32,DAL,NBA,11.1,3.7,3.8,73,73,34.3,8.4,16.2,7.5,13.8,0.9,2.3,5.4,6.1,0.7,6.3,7.0,2.6,0.5,0.6,1.9,2.4,23.0,.517,.538,.393,.545,.892,.612
12,Zach Randolph\randoza01,2010-11,29,MEM,NBA,10.5,3.1,2.5,75,74,36.3,8.0,15.8,7.9,15.3,0.1,0.6,4.0,5.3,4.3,7.8,12.2,2.2,0.8,0.3,2.0,2.3,20.1,.503,.515,.186,.507,.758,.552
13,Chris Bosh\boshch01,2010-11,26,MIA,NBA,10.3,1.7,0.4,77,77,36.3,6.8,13.7,6.7,13.4,0.1,0.3,5.0,6.1,1.8,6.5,8.3,1.9,0.8,0.6,1.8,2.2,18.7,.496,.502,.240,.499,.815,.569
14,Kobe Bryant\bryanko01,2010-11,32,LAL,NBA,10.3,4.1,3.8,82,82,33.9,9.0,20.0,7.6,15.6,1.4,4.3,5.9,7.1,1.0,4.1,5.1,4.7,1.2,0.1,3.0,2.1,25.3,.451,.487,.323,.487,.828,.548
15,Al Horford\horfoal01,2010-11,24,ATL,NBA,10.1,4.4,4.4,77,77,35.1,6.7,12.0,6.6,11.9,0.0,0.1,1.9,2.4,2.4,7.0,9.3,3.5,0.8,1.0,1.5,2.5,15.3,.557,.557,.500,.558,.798,.587
16,Lamar Odom\odomla01,2010-11,31,LAL,NBA,10.1,3.8,3.7,82,35,32.2,5.8,10.9,4.9,8.7,0.8,2.2,2.0,3.0,2.1,6.5,8.7,3.0,0.6,0.7,1.7,2.4,14.4,.530,.566,.382,.568,.675,.589
17,Ray Allen\allenra02,2010-11,35,BOS,NBA,10.0,4.1,3.6,80,80,36.1,6.0,12.2,3.9,7.5,2.1,4.7,2.4,2.7,0.6,2.8,3.4,2.7,1.0,0.2,1.5,1.8,16.5,.491,.520,.444,.577,.881,.615
18,Luol Deng\denglu01,2010-11,25,CHI,NBA,9.9,3.4,2.2,82,82,39.1,6.5,14.1,5.1,10.0,1.4,4.1,3.1,4.1,1.4,4.4,5.8,2.8,1.0,0.6,1.9,2.0,17.4,.460,.506,.345,.510,.753,.549
19,Manu Ginóbili\ginobma01,2010-11,33,SAS,NBA,9.9,4.5,5.3,80,79,30.3,5.5,12.7,3.6,7.2,1.9,5.5,4.5,5.1,0.5,3.2,3.7,4.9,1.5,0.4,2.2,2.0,17.4,.433,.497,.349,.509,.871,.581
20,Blake Griffin\griffbl01,2010-11,21,LAC,NBA,9.8,4.0,3.2,82,82,38.0,8.5,16.8,8.4,16.5,0.1,0.3,5.4,8.5,3.3,8.8,12.1,3.8,0.8,0.5,2.7,3.1,22.5,.506,.510,.292,.508,.642,.549
21,Nenê Hilário\hilarne01,2010-11,28,DEN,NBA,9.6,3.8,4.6,75,75,30.5,5.4,8.7,5.3,8.7,0.0,0.1,3.8,5.4,1.9,5.7,7.6,2.0,1.1,1.0,1.8,3.2,14.5,.615,.618,.200,.615,.711,.657
22,Kevin Martin\martike02,2010-11,27,HOU,NBA,9.5,2.3,1.6,80,80,32.5,6.9,15.8,4.7,10.1,2.2,5.7,7.4,8.4,0.4,2.9,3.2,2.5,1.0,0.2,2.3,1.9,23.5,.436,.467,.383,.506,.888,.601
23,Elton Brand\brandel01,2010-11,31,PHI,NBA,9.4,3.1,2.4,81,81,34.7,6.2,12.1,6.2,12.1,0.0,0.0,2.6,3.4,2.9,5.4,8.3,1.5,1.1,1.3,1.2,3.0,15.0,.512,.512,.000,.512,.780,.553
24,Tyson Chandler\chandty01,2010-11,28,DAL,NBA,9.4,2.2,2.2,74,74,27.8,3.6,5.5,3.6,5.5,0.0,0.0,2.9,4.0,2.8,6.6,9.4,0.4,0.5,1.1,1.2,3.2,10.1,.654,.654,,.654,.732,.697
25,Russell Westbrook\westbru01,2010-11,22,OKC,NBA,9.4,5.0,5.0,82,82,34.7,7.5,17.0,7.1,15.7,0.4,1.3,6.5,7.7,1.5,3.1,4.6,8.2,1.9,0.4,3.9,2.5,21.9,.442,.451,.330,.454,.842,.538
26,Kevin Garnett\garneke01,2010-11,34,BOS,NBA,9.0,3.4,4.0,71,71,31.3,6.1,11.6,6.1,11.5,0.0,0.1,2.6,3.1,1.2,7.7,8.9,2.4,1.3,0.8,1.6,2.1,14.9,.528,.530,.200,.529,.862,.575
27,Tony Parker\parketo01,2010-11,28,SAS,NBA,8.2,2.4,1.7,78,78,32.4,7.1,13.7,6.8,12.8,0.3,0.9,3.0,3.9,0.4,2.7,3.1,6.6,1.2,0.0,2.6,1.7,17.5,.519,.531,.357,.531,.769,.569
28,Chauncey Billups\billuch01,2010-11,34,TOT,NBA,8.0,2.3,1.9,72,72,32.1,4.7,11.0,2.7,6.0,2.0,5.0,5.3,5.8,0.3,2.3,2.6,5.4,1.0,0.2,2.5,2.0,16.8,.427,.448,.402,.519,.916,.617
29,Amar'e Stoudemire\stoudam01,2010-11,28,NYK,NBA,8.0,1.9,0.7,78,78,36.8,9.5,19.0,9.4,18.7,0.1,0.3,6.1,7.7,2.5,5.6,8.2,2.6,0.9,1.9,3.2,3.5,25.3,.502,.503,.435,.505,.792,.565
30,Carmelo Anthony\anthoca01,2010-11,26,TOT,NBA,7.9,1.8,0.5,77,77,35.7,8.9,19.5,7.6,16.3,1.2,3.3,6.6,7.9,1.5,5.8,7.3,2.9,0.9,0.6,2.7,2.9,25.6,.455,.470,.378,.487,.838,.557
31,Marc Gasol\gasolma01,2010-11,26,MEM,NBA,7.9,3.6,3.6,81,81,31.9,4.5,8.5,4.5,8.4,0.0,0.1,2.7,3.6,1.9,5.1,7.0,2.5,0.9,1.7,1.8,3.3,11.7,.527,.528,.429,.529,.748,.580
32,Steve Nash\nashst01,2010-11,36,PHO,NBA,7.9,1.6,0.6,75,75,33.3,5.3,10.8,4.2,8.1,1.1,2.7,3.0,3.3,0.5,2.9,3.5,11.4,0.6,0.1,3.5,1.2,14.7,.492,.525,.395,.542,.912,.601
33,Al Jefferson\jeffeal01,2010-11,26,UTA,NBA,7.8,1.5,0.1,82,82,35.9,8.0,16.1,8.0,16.1,0.0,0.0,2.7,3.5,2.9,6.8,9.7,1.8,0.6,1.9,1.3,2.9,18.6,.496,.496,,.496,.761,.528
34,David West\westda01,2010-11,30,NOH,NBA,7.8,2.9,2.7,70,70,35.0,7.5,14.9,7.5,14.7,0.0,0.1,3.8,4.7,2.2,5.3,7.6,2.3,1.0,0.9,2.0,2.9,18.9,.508,.510,.222,.509,.807,.558
35,Tim Duncan\duncati01,2010-11,34,SAS,NBA,7.7,3.2,3.8,76,76,28.4,5.5,11.0,5.5,11.0,0.0,0.1,2.4,3.4,2.2,6.7,8.9,2.7,0.7,1.9,1.6,1.6,13.4,.500,.502,.000,.500,.716,.537
36,Paul Millsap\millspa01,2010-11,25,UTA,NBA,7.7,2.9,2.4,76,76,34.3,6.9,13.0,6.8,12.7,0.1,0.3,3.4,4.4,2.2,5.5,7.6,2.5,1.4,0.9,1.9,3.6,17.3,.531,.535,.391,.536,.757,.578
37,Serge Ibaka\ibakase01,2010-11,21,OKC,NBA,7.6,1.1,0.1,82,44,27.0,4.1,7.5,4.1,7.5,0.0,0.0,1.7,2.2,2.6,5.0,7.6,0.3,0.4,2.4,0.9,3.3,9.9,.543,.544,.000,.543,.750,.579
